User Name,Final Score
anhdv8,87.5
binhht5,87.5
chinhht1,90
datpd,75
duytq3,75.625
kientx1,75.625
lentb1,85
nguyennt8,78.75
nguyentnc,80
nhanhtt,75.625
nhattq3,82.5
phongpv2,75.625
quocnt2,88.33333333
taint5,87.5
taivd,88.125
thaovh1,75
thonp,87.5
thuongdt2,77.5
tricm2,70
trivm2,87.5
tuanna71,87.5
tungnd8,72.5
